pdb,stacking,base_triple_type
ens-466,unstacked,non-triple
ens-467,stacked,non-triple
ens-468,unstacked,non-triple
ens-469,stacked,non-triple
ens-470,stacked,non-triple
ens-471,stacked,triple
ens-472,unstacked,non-triple
ens-473,stacked,non-triple
ens-474,unstacked,non-triple
ens-475,unstacked,non-triple
ens-476,stacked,non-triple
ens-477,stacked,non-triple
ens-478,unstacked,non-triple
ens-479,unstacked,non-triple
ens-480,unstacked,non-triple
ens-481,stacked,non-triple
ens-482,stacked,non-triple
ens-483,stacked,non-triple
ens-484,unstacked,non-triple
ens-485,unstacked,non-triple
ens-486,stacked,non-triple
ens-487,stacked,triple
ens-488,unstacked,non-triple
ens-489,unstacked,non-triple
ens-490,stacked,non-triple
ens-491,unstacked,non-triple
ens-492,stacked,non-triple
ens-493,unstacked,non-triple
ens-494,unstacked,non-triple
ens-495,unstacked,non-triple
ens-496,unstacked,non-triple
ens-497,unstacked,non-triple
ens-498,stacked,non-triple
ens-499,stacked,non-triple
ens-500,unstacked,non-triple
ens-501,unstacked,non-triple
ens-502,unstacked,non-triple
ens-503,unstacked,non-triple
ens-504,unstacked,non-triple
ens-505,unstacked,non-triple
ens-506,unstacked,non-triple
ens-507,stacked,non-triple
ens-508,stacked,non-triple
ens-509,unstacked,non-triple
ens-510,unstacked,non-triple
ens-511,stacked,non-triple
ens-512,stacked,non-triple
ens-513,unstacked,non-triple
ens-514,unstacked,non-triple
ens-515,stacked,non-triple
ens-516,stacked,non-triple
ens-517,stacked,non-triple
ens-518,unstacked,non-triple
ens-519,stacked,triple
ens-520,unstacked,non-triple
ens-521,stacked,non-triple
ens-522,stacked,non-triple
ens-523,unstacked,non-triple
ens-524,unstacked,non-triple
ens-525,stacked,non-triple
ens-526,unstacked,non-triple
ens-527,stacked,non-triple
ens-528,unstacked,non-triple
ens-529,unstacked,non-triple
ens-530,unstacked,non-triple
ens-531,unstacked,non-triple
ens-532,unstacked,non-triple
ens-533,stacked,non-triple
ens-534,stacked,non-triple
ens-535,stacked,non-triple
ens-536,unstacked,non-triple
ens-537,stacked,non-triple
ens-538,unstacked,non-triple
ens-539,unstacked,non-triple
ens-540,unstacked,non-triple
ens-541,stacked,non-triple
ens-542,stacked,non-triple
ens-543,unstacked,non-triple
ens-544,unstacked,non-triple
ens-545,unstacked,non-triple
ens-546,unstacked,non-triple
ens-547,unstacked,non-triple
ens-548,stacked,non-triple
ens-549,stacked,non-triple
ens-550,stacked,non-triple
ens-551,unstacked,non-triple
ens-552,stacked,non-triple
ens-553,stacked,non-triple
ens-554,unstacked,non-triple
ens-555,unstacked,non-triple
ens-556,stacked,non-triple
ens-557,unstacked,non-triple
ens-558,unstacked,non-triple
ens-559,unstacked,non-triple
ens-560,unstacked,non-triple
ens-561,unstacked,non-triple
ens-562,unstacked,non-triple
ens-563,unstacked,non-triple
ens-564,stacked,non-triple
ens-565,unstacked,non-triple
ens-566,stacked,non-triple
ens-567,unstacked,non-triple
ens-568,stacked,non-triple
ens-569,unstacked,non-triple
ens-570,unstacked,non-triple
ens-571,unstacked,non-triple
ens-572,unstacked,non-triple
ens-573,unstacked,non-triple
ens-574,stacked,non-triple
ens-575,stacked,non-triple
ens-576,stacked,non-triple
ens-577,unstacked,non-triple
ens-578,stacked,non-triple
ens-579,stacked,non-triple
ens-580,stacked,non-triple
ens-581,stacked,non-triple
ens-582,stacked,non-triple
ens-583,stacked,non-triple
ens-584,unstacked,non-triple
ens-585,unstacked,non-triple
ens-586,unstacked,non-triple
ens-587,unstacked,non-triple
ens-588,unstacked,non-triple
ens-589,stacked,non-triple
ens-590,unstacked,non-triple
ens-591,stacked,non-triple
ens-592,stacked,non-triple
ens-593,unstacked,non-triple
ens-594,unstacked,non-triple
ens-595,stacked,triple
ens-596,unstacked,non-triple
ens-597,unstacked,non-triple
ens-598,unstacked,non-triple
ens-599,unstacked,non-triple
ens-600,stacked,non-triple
ens-601,stacked,non-triple
ens-602,stacked,triple
ens-603,stacked,non-triple
ens-604,unstacked,non-triple
ens-605,stacked,non-triple
ens-606,unstacked,non-triple
ens-607,stacked,non-triple
