pdb,stacking,base_triple_type
ens-640,stacked,non-triple
ens-641,stacked,non-triple
ens-642,stacked,non-triple
ens-643,stacked,non-triple
ens-644,stacked,non-triple
ens-645,stacked,non-triple
ens-646,stacked,non-triple
ens-647,stacked,non-triple
ens-648,stacked,non-triple
ens-649,stacked,non-triple
ens-650,stacked,non-triple
ens-651,stacked,non-triple
ens-652,stacked,non-triple
ens-653,stacked,non-triple
ens-654,stacked,non-triple
ens-655,stacked,non-triple
ens-656,stacked,non-triple
ens-657,stacked,non-triple
ens-658,stacked,non-triple
ens-659,stacked,non-triple
ens-660,stacked,non-triple
ens-661,stacked,non-triple
ens-662,stacked,non-triple
ens-663,stacked,non-triple
ens-664,stacked,non-triple
ens-665,stacked,non-triple
ens-666,stacked,non-triple
ens-667,stacked,non-triple
ens-668,stacked,non-triple
ens-669,stacked,non-triple
ens-670,stacked,non-triple
ens-671,stacked,non-triple
ens-672,stacked,non-triple
ens-673,stacked,non-triple
ens-674,stacked,non-triple
ens-675,stacked,non-triple
ens-676,stacked,non-triple
ens-677,stacked,non-triple
ens-678,stacked,non-triple
ens-679,stacked,non-triple
ens-680,stacked,non-triple
ens-681,stacked,non-triple
ens-682,stacked,non-triple
ens-683,stacked,non-triple
ens-684,stacked,non-triple
ens-685,stacked,non-triple
ens-686,stacked,non-triple
ens-687,stacked,non-triple
ens-688,stacked,non-triple
ens-689,stacked,non-triple
ens-690,stacked,non-triple
ens-691,stacked,non-triple
ens-692,stacked,non-triple
ens-693,stacked,non-triple
ens-694,stacked,non-triple
ens-695,stacked,non-triple
ens-696,stacked,non-triple
ens-697,stacked,non-triple
ens-698,stacked,non-triple
ens-699,stacked,non-triple
ens-700,stacked,non-triple
ens-701,stacked,non-triple
ens-702,stacked,non-triple
ens-703,stacked,non-triple
ens-704,stacked,non-triple
ens-705,stacked,non-triple
ens-706,stacked,non-triple
ens-707,stacked,non-triple
ens-708,stacked,non-triple
ens-709,stacked,non-triple
ens-710,stacked,non-triple
ens-711,stacked,non-triple
ens-712,stacked,non-triple
ens-713,stacked,non-triple
ens-714,stacked,non-triple
ens-715,stacked,non-triple
ens-716,stacked,non-triple
ens-717,stacked,non-triple
ens-718,stacked,non-triple
ens-719,stacked,non-triple
ens-720,stacked,non-triple
ens-721,stacked,non-triple
ens-722,stacked,non-triple
ens-723,stacked,non-triple
ens-724,stacked,non-triple
ens-725,stacked,non-triple
ens-726,stacked,non-triple
ens-727,stacked,non-triple
ens-728,stacked,non-triple
ens-729,stacked,non-triple
ens-730,stacked,non-triple
ens-731,stacked,non-triple
ens-732,stacked,non-triple
ens-733,stacked,non-triple
ens-734,stacked,non-triple
ens-735,stacked,non-triple
